frame,emotion,gaze_x,gaze_y,AU_0,AU_1,AU_2,AU_3,AU_4,AU_5,AU_6,AU_7
129,0,-0.1559447199106216,0.1372939199209213,0.0,0.0,0.0,0.0,0.0,0.009820105507969856,0.037041839212179184,0.00426712678745389
130,7,-0.1170947253704071,0.1929131746292114,0.0027982040774077177,0.0030128289945423603,0.0,0.00018013594672083855,0.0,0.030465126037597656,0.16900235414505005,0.009376559406518936
131,7,-0.0569819100201129,0.0686188861727714,0.0,0.0,0.0,0.00010971970914397389,0.0,0.04896480590105057,0.23650860786437988,0.0035309884697198868
132,7,-0.0400335267186164,0.0869336500763893,0.0,0.0,0.0,0.0,0.0,0.019792091101408005,0.07881610095500946,0.0010781100718304515
133,7,-0.023925743997097,0.0006934334523975,0.0,0.0,0.0,0.0,0.0,0.00523513276129961,0.009956343099474907,0.0
134,7,-0.0256687588989734,0.0083377407863736,0.0,0.0,0.0,0.0,0.0,0.0025395650882273912,0.00980253703892231,0.0006655205506831408
135,7,-0.015960406512022,0.0054353210143744,0.0,0.0,0.0,0.0,0.0,0.0,0.006097704637795687,0.0
136,7,-0.032315693795681,-0.0041999453678727,0.0,0.0,0.0,0.0,0.0,0.009431314654648304,0.021233832463622093,0.001537236152216792
137,7,-0.0121913943439722,0.0309137292206287,0.0,0.0,0.0,0.0,0.0,0.004882108885794878,0.008419790305197239,0.0008582001319155097
138,0,-0.0257469117641448,0.0486139319837093,0.0,0.0,0.0,0.0,0.0,0.002621725434437394,0.011475742794573307,0.0011726837838068604
139,0,-0.0127975791692733,0.0002330718562006,0.0,0.0,0.0,0.0,0.0,0.0033155109267681837,0.006523692049086094,0.0004565234121400863
140,7,-0.018950106576085,0.0051641473546624,0.0,0.0,0.0,0.0,0.0,0.014934515580534935,0.06553489714860916,0.003680679015815258
141,7,-0.0311906263232231,0.0055504874326288,0.0,0.0,0.0,0.0,0.0,0.009473171085119247,0.08847329765558243,0.002877148101106286
142,0,-0.0244202464818954,0.0189412720501422,0.0,0.0,0.0,0.0,0.0,0.005062098614871502,0.01543415430933237,0.003773920238018036
